cgpa,iq,communication,internship,placed
5.3,145,5,0,1
9.7,84,4,0,0
8.4,144,9,1,1
9.6,140,8,1,1
6.1,120,4,0,0
5.4,109,8,0,0
8.2,130,8,0,1
8.0,97,6,1,1
5.3,101,6,1,0
5.3,89,5,0,1
6.1,127,6,1,1
8.4,125,6,1,1
5.1,131,4,0,1
6.9,99,7,0,1
6.9,85,9,0,1
9.7,144,5,0,1
5.9,144,5,1,1
7.2,94,9,1,1
8.9,80,8,1,1
8.4,109,6,1,1
9.0,103,7,0,1
8.3,111,6,1,1
5.7,81,7,0,0
7.6,136,7,0,1
7.4,104,7,1,1
6.0,99,6,0,1
8.7,117,9,0,1
7.0,103,6,1,1
5.5,123,8,0,1
5.9,83,8,0,1
9.0,124,5,1,1
6.6,131,6,1,1
9.5,85,9,0,0
7.8,109,6,0,1
6.0,96,7,1,0
9.9,80,9,0,0
5.9,81,8,1,0
7.1,127,9,1,1
9.5,138,9,0,1
8.3,118,8,1,1
5.2,140,4,0,0
9.0,85,8,1,1
5.1,129,8,0,1
7.3,108,10,0,1
5.6,114,9,0,1
8.6,114,6,0,0
8.6,90,8,1,1
8.7,141,6,0,0
7.6,138,5,1,1
5.7,100,7,1,1
7.2,114,7,0,0
9.2,121,8,0,0
8.7,99,5,1,1
5.8,145,5,0,1
8.8,108,8,0,1
9.5,115,8,1,1
6.2,129,6,1,1
10.0,103,5,1,1
7.4,105,7,1,1
9.0,100,6,0,1
6.4,123,5,0,1
7.0,84,5,1,0
7.8,123,6,1,1
5.0,138,9,1,1
6.4,85,4,0,0
6.9,137,7,0,1
7.9,87,7,0,0
9.4,132,6,0,1
5.5,95,5,0,1
9.0,82,8,1,1
8.8,144,6,1,1
8.8,83,6,0,1
6.4,139,7,1,1
5.7,85,5,0,0
8.5,105,7,1,1
8.6,116,9,1,1
7.9,114,9,1,1
5.9,90,10,1,1
7.1,134,7,1,1
7.6,89,4,0,0
7.5,113,7,1,1
8.9,122,6,1,1
8.3,89,6,0,1
6.4,128,7,1,1
7.1,81,8,0,1
6.4,112,9,0,1
5.1,138,8,0,0
6.7,82,5,0,0
6.6,131,8,0,1
9.4,133,9,1,1
6.8,134,6,0,0
9.6,115,5,0,1
7.4,111,7,1,1
8.8,88,9,0,1
6.3,142,8,0,1
5.5,141,9,0,1
6.3,81,8,1,0
8.9,126,6,1,1
9.5,104,7,1,1
9.4,81,6,0,1
7.5,118,6,1,1
5.1,106,8,0,0
9.3,138,6,1,1
8.8,138,10,1,1
8.5,98,4,0,1
8.7,114,5,0,1
7.2,125,8,0,1
9.6,81,6,1,1
6.8,81,7,0,0
6.8,101,8,1,1
8.6,121,7,1,1
8.5,136,10,1,1
7.0,135,8,1,1
5.4,111,5,0,0
5.8,101,5,1,1
6.4,113,10,0,1
8.2,80,5,0,1
7.5,112,6,1,1
9.8,108,5,0,0
5.9,117,5,0,0
8.3,120,10,1,1
6.8,102,9,1,1
7.8,122,6,0,1
7.6,136,4,1,1
6.8,141,6,1,1
6.5,83,5,0,1
8.1,124,6,1,1
9.0,114,9,1,1
9.2,110,8,0,1
6.4,142,7,1,1
9.6,138,8,0,1
5.8,116,9,0,1
6.7,125,9,1,1
9.1,106,9,1,1
5.6,98,6,0,0
10.0,106,8,1,1
7.2,102,8,0,1
6.9,122,10,1,1
5.7,119,6,0,0
5.2,84,9,0,0
8.9,90,9,0,1
8.6,121,8,0,0
6.8,110,4,0,0
9.1,95,9,1,1
5.8,85,9,0,0
8.6,129,6,1,1
5.2,114,5,0,1
6.3,123,6,1,1
9.1,81,7,0,1
6.5,138,5,0,1
6.0,95,7,1,1
8.0,87,7,1,0
7.8,81,5,1,1
6.2,91,6,0,0
5.6,141,6,0,0
5.6,84,9,1,1
9.1,97,5,1,1
7.7,89,7,0,1
7.5,131,10,0,1
7.7,143,9,0,1
6.5,127,8,0,1
8.6,101,9,1,1
9.5,124,8,0,1
5.7,95,7,0,1
6.2,103,9,0,1
5.2,104,6,1,1
7.2,145,6,0,1
9.4,119,4,1,1
6.7,142,4,0,0
8.5,129,8,0,1
9.7,112,10,1,1
9.2,113,4,1,1
7.6,138,10,0,1
7.4,135,7,1,1
9.3,90,9,1,1
6.5,88,5,1,1
8.7,113,9,1,1
5.3,88,6,1,1
9.1,113,5,0,1
8.8,82,5,1,1
7.2,128,6,0,1
9.7,133,8,0,1
7.9,107,9,0,0
7.1,110,8,0,0
8.3,125,7,0,0
8.6,101,4,1,1
7.6,131,10,1,1
9.0,136,5,0,1
8.8,100,5,0,1
9.1,83,7,1,1
8.7,100,4,1,1
9.8,131,6,1,1
5.5,137,7,0,1
5.5,109,6,0,0
9.8,90,7,1,1
6.1,100,6,0,0
9.6,132,10,0,1
6.5,135,9,0,1
6.6,116,7,0,1
8.4,81,8,1,1
8.9,116,10,0,1
7.0,120,4,1,1
7.9,142,8,0,1
8.5,99,5,0,1
6.9,128,4,0,1
7.6,98,7,0,0
7.4,101,7,0,1
5.7,81,7,0,1
9.1,108,7,1,1
6.4,123,5,0,0
5.5,136,7,0,1
8.7,87,10,1,1
6.7,82,6,1,1
6.3,83,4,0,0
9.8,116,7,0,1
6.6,133,9,0,1
6.9,131,10,1,1
7.7,96,5,1,1
8.1,139,5,0,0
8.0,119,6,0,1
6.2,140,6,0,1
9.5,98,8,0,1
8.1,141,4,0,1
5.9,106,6,0,0
5.4,130,5,0,1
7.3,102,8,1,1
9.6,124,4,1,1
6.8,123,4,1,1
5.7,94,10,0,1
9.9,133,8,1,1
5.1,113,9,0,1
7.0,137,6,0,0
5.0,116,7,0,0
8.4,102,8,0,1
7.1,99,9,1,1
5.0,143,8,0,0
5.8,135,5,1,1
7.0,127,7,0,1
9.3,95,5,1,1
8.2,142,8,1,1
9.9,145,9,0,1
5.8,137,10,0,1
6.2,107,8,0,1
6.9,134,7,1,1
7.7,91,5,1,1
6.8,119,7,0,1
5.5,145,10,1,1
9.3,121,9,0,1
7.2,129,5,1,1
5.8,135,7,1,0
9.7,102,5,0,1
6.4,88,8,1,1
6.6,99,9,0,0
5.1,123,5,1,1
7.0,122,9,1,1
7.1,93,9,1,1
9.3,129,5,0,1
7.6,84,9,0,1
6.3,144,4,1,1
5.2,131,5,0,0
9.6,122,6,0,1
5.4,136,8,1,1
9.7,92,5,0,1
5.3,132,8,0,1
9.2,120,10,0,1
9.9,104,6,1,1
7.1,125,6,1,1
9.2,105,8,1,1
5.8,144,6,0,1
8.2,120,5,0,0
9.5,82,9,1,1
9.7,84,6,0,0
6.3,127,10,0,1
6.0,105,7,0,1
7.9,94,8,0,1
6.3,110,9,1,1
8.0,130,6,1,1
5.7,123,7,0,1
7.4,85,8,0,0
7.9,105,10,0,1
8.2,133,6,0,1
8.1,135,8,1,1
6.8,136,5,0,0
9.9,126,7,1,1
8.7,86,9,0,1
9.6,86,7,1,0
5.5,143,5,1,1
5.7,132,5,0,0
5.6,87,5,0,0
7.8,87,7,0,0
8.5,133,5,1,1
7.4,140,7,0,1
8.2,137,9,1,1
9.8,104,8,0,1
7.8,107,7,0,0
5.9,140,7,0,0
6.8,99,7,0,0
8.7,105,7,0,1
5.8,114,5,1,1
6.4,136,7,0,1
8.1,88,8,1,0
6.2,127,7,1,1
6.9,129,9,0,1
7.9,128,5,0,1
9.6,117,8,0,0
6.0,94,6,1,1
7.9,139,7,0,1
9.2,145,7,1,1
5.8,105,5,0,0
9.3,101,6,1,0
8.8,97,6,0,1
9.8,135,7,1,1
9.3,115,9,1,1
6.2,98,8,1,1
7.8,89,4,0,1
9.7,119,7,1,1
6.7,120,7,0,1
7.0,114,7,0,1
7.8,134,8,1,1
5.9,81,7,0,1
8.8,141,8,1,1
7.9,138,8,0,1
5.6,118,7,0,0
7.6,109,8,0,1
5.6,95,8,1,1
7.4,125,7,1,1
8.3,103,6,1,1
5.4,87,5,0,0
5.7,114,5,0,0
7.1,110,5,1,1
8.7,132,4,0,1
6.0,88,7,0,0
6.6,144,8,1,1
6.6,114,10,0,1
9.9,114,10,1,1
5.9,80,4,0,0
8.2,144,8,1,1
9.1,115,4,0,0
7.2,107,5,1,0
5.2,89,6,1,1
6.5,111,8,0,1
7.3,84,9,0,1
5.6,145,6,0,1
8.9,142,6,1,1
8.7,96,4,0,1
8.0,133,8,1,1
8.5,112,9,0,1
7.6,99,7,1,1
7.9,113,7,0,1
7.7,137,7,1,1
5.0,141,5,0,1
6.7,126,5,0,0
5.8,89,8,0,0
6.4,87,6,0,0
6.8,138,7,1,1
9.7,128,9,0,1
8.9,82,4,0,0
8.2,100,8,1,1
7.6,108,6,1,1
7.4,110,6,1,1
7.5,112,7,1,1
8.9,122,8,0,0
8.9,89,7,0,1
9.1,115,5,0,1
5.0,113,7,1,0
8.4,100,6,1,1
5.9,84,8,1,1
5.1,137,7,0,1
5.3,97,7,0,0
5.1,120,4,0,0
6.2,97,9,0,0
9.0,134,8,1,1
6.8,119,9,1,1
9.2,143,6,0,1
7.0,104,9,1,1
5.3,118,7,0,0
8.5,80,8,0,1
7.3,133,4,1,1
9.7,91,5,0,0
7.6,121,9,0,1
5.6,103,10,0,0
8.1,105,5,1,0
5.7,132,5,0,0
7.1,120,7,0,0
8.5,106,10,1,1
7.1,134,6,0,1
7.8,105,6,0,0
7.2,90,4,0,1
9.7,106,8,0,1
6.1,101,7,1,1
5.3,92,5,0,0
7.7,114,5,0,0
9.3,89,4,1,1
7.4,91,7,1,1
7.0,88,8,0,1
5.1,124,4,1,1
9.4,116,5,1,1
7.1,101,7,0,1
8.5,115,5,1,1
5.7,136,6,1,1
6.9,85,5,0,0
7.2,115,8,0,1
8.0,115,6,1,1
7.4,90,8,0,1
6.0,130,7,0,1
5.7,106,9,0,0
7.0,119,9,1,1
7.4,102,5,0,0
